,league,team,overall,attack,midfield,defence,transfer_budget,players,fifa_edition,update
123,GER-Bundesliga,FSV Mainz 05,71,67,69,68,€2.5M,30,FIFA 10,"Aug 30, 2009"
124,GER-Bundesliga,Nürnberg,71,68,67,69,€3.5M,29,FIFA 10,"Aug 30, 2009"
125,GER-Bundesliga,SC Freiburg,69,67,67,66,€2.5M,26,FIFA 10,"Aug 30, 2009"
126,GER-Bundesliga,FC Bayern München,81,81,77,75,€80M,23,FIFA 10,"Feb 22, 2010"
127,GER-Bundesliga,Hamburger SV,78,74,71,68,€20M,33,FIFA 10,"Feb 22, 2010"
128,GER-Bundesliga,Werder Bremen,78,69,72,72,€30M,32,FIFA 10,"Feb 22, 2010"
129,GER-Bundesliga,VfL Wolfsburg,78,71,73,68,€40M,32,FIFA 10,"Feb 22, 2010"
130,GER-Bundesliga,Bayer 04 Leverkusen,77,75,73,75,€10M,25,FIFA 10,"Feb 22, 2010"
131,GER-Bundesliga,Schalke 04,77,68,71,77,€8.5M,35,FIFA 10,"Feb 22, 2010"
132,GER-Bundesliga,VfB Stuttgart,77,73,71,73,€28M,29,FIFA 10,"Feb 22, 2010"
133,GER-Bundesliga,Borussia Dortmund,76,69,72,70,€12M,35,FIFA 10,"Feb 22, 2010"
134,GER-Bundesliga,TSG Hoffenheim,76,71,73,71,€20M,30,FIFA 10,"Feb 22, 2010"
135,GER-Bundesliga,Eintracht Frankfurt,74,69,70,71,€7.5M,31,FIFA 10,"Feb 22, 2010"
136,GER-Bundesliga,Hertha BSC,74,74,69,68,€7.5M,31,FIFA 10,"Feb 22, 2010"
137,GER-Bundesliga,Hannover 96,74,69,69,68,€5M,35,FIFA 10,"Feb 22, 2010"
138,GER-Bundesliga,Borussia Mönchengladbach,73,73,69,69,€6.5M,30,FIFA 10,"Feb 22, 2010"
139,GER-Bundesliga,FC Köln,73,68,67,68,€11M,29,FIFA 10,"Feb 22, 2010"
140,GER-Bundesliga,VfL Bochum 1848,72,69,69,67,€3M,29,FIFA 10,"Feb 22, 2010"
141,GER-Bundesliga,FSV Mainz 05,71,65,68,67,€2.5M,35,FIFA 10,"Feb 22, 2010"
142,GER-Bundesliga,Nürnberg,71,69,67,68,€3.5M,30,FIFA 10,"Feb 22, 2010"
143,GER-Bundesliga,SC Freiburg,69,68,67,66,€2.5M,29,FIFA 10,"Feb 22, 2010"
144,GER-Bundesliga,FC Bayern München,81,82,79,75,€54M,25,FIFA 11,"Aug 30, 2010"
145,GER-Bundesliga,Hamburger SV,78,74,73,69,€15M,32,FIFA 11,"Aug 30, 2010"
146,GER-Bundesliga,Bayer 04 Leverkusen,78,75,77,75,€11M,24,FIFA 11,"Aug 30, 2010"
147,GER-Bundesliga,Werder Bremen,78,70,72,72,€16M,33,FIFA 11,"Aug 30, 2010"
148,GER-Bundesliga,VfL Wolfsburg,78,71,72,71,€30M,32,FIFA 11,"Aug 30, 2010"
149,GER-Bundesliga,Borussia Dortmund,77,71,73,74,€7.5M,31,FIFA 11,"Aug 30, 2010"
150,GER-Bundesliga,Schalke 04,77,71,73,73,€18M,34,FIFA 11,"Aug 30, 2010"
151,GER-Bundesliga,VfB Stuttgart,75,77,72,75,€12M,26,FIFA 11,"Aug 30, 2010"
152,GER-Bundesliga,TSG Hoffenheim,75,70,70,70,€15M,32,FIFA 11,"Aug 30, 2010"
153,GER-Bundesliga,Eintracht Frankfurt,74,70,68,73,€7M,29,FIFA 11,"Aug 30, 2010"
154,GER-Bundesliga,Borussia Mönchengladbach,73,73,69,68,€6M,30,FIFA 11,"Aug 30, 2010"
155,GER-Bundesliga,FC Köln,73,70,67,68,€5M,35,FIFA 11,"Aug 30, 2010"
156,GER-Bundesliga,FSV Mainz 05,72,69,69,70,€2.5M,30,FIFA 11,"Aug 30, 2010"
157,GER-Bundesliga,Hannover 96,72,73,67,68,€4M,30,FIFA 11,"Aug 30, 2010"
158,GER-Bundesliga,Nürnberg,71,70,67,67,€2M,28,FIFA 11,"Aug 30, 2010"
159,GER-Bundesliga,SC Freiburg,70,68,68,70,€1.5M,28,FIFA 11,"Aug 30, 2010"
160,GER-Bundesliga,Kaiserslautern,70,70,67,66,€5M,30,FIFA 11,"Aug 30, 2010"
161,GER-Bundesliga,St. Pauli,70,68,68,67,€1.5M,30,FIFA 11,"Aug 30, 2010"
162,GER-Bundesliga,FC Bayern München,81,76,79,77,€54M,23,FIFA 11,"Feb 22, 2011"
163,GER-Bundesliga,Hamburger SV,78,74,72,71,€15M,31,FIFA 11,"Feb 22, 2011"
164,GER-Bundesliga,Bayer 04 Leverkusen,78,76,79,75,€11M,22,FIFA 11,"Feb 22, 2011"
165,GER-Bundesliga,Werder Bremen,78,70,72,71,€16M,34,FIFA 11,"Feb 22, 2011"
166,GER-Bundesliga,VfL Wolfsburg,78,72,72,71,€30M,32,FIFA 11,"Feb 22, 2011"
167,GER-Bundesliga,Borussia Dortmund,77,71,75,75,€7.5M,28,FIFA 11,"Feb 22, 2011"
168,GER-Bundesliga,Schalke 04,77,74,73,71,€18M,35,FIFA 11,"Feb 22, 2011"
169,GER-Bundesliga,VfB Stuttgart,75,73,73,71,€12M,28,FIFA 11,"Feb 22, 2011"
170,GER-Bundesliga,TSG Hoffenheim,75,69,72,69,€15M,30,FIFA 11,"Feb 22, 2011"
171,GER-Bundesliga,Eintracht Frankfurt,74,74,70,71,€7M,26,FIFA 11,"Feb 22, 2011"
172,GER-Bundesliga,Borussia Mönchengladbach,73,70,71,69,€6M,29,FIFA 11,"Feb 22, 2011"
173,GER-Bundesliga,FC Köln,73,70,69,69,€5M,35,FIFA 11,"Feb 22, 2011"
174,GER-Bundesliga,FSV Mainz 05,72,72,70,70,€2.5M,27,FIFA 11,"Feb 22, 2011"
175,GER-Bundesliga,Hannover 96,72,73,68,68,€4M,29,FIFA 11,"Feb 22, 2011"
176,GER-Bundesliga,Nürnberg,71,70,69,68,€2M,29,FIFA 11,"Feb 22, 2011"
177,GER-Bundesliga,SC Freiburg,70,70,67,70,€1.5M,30,FIFA 11,"Feb 22, 2011"
178,GER-Bundesliga,Kaiserslautern,70,69,68,68,€5M,33,FIFA 11,"Feb 22, 2011"
179,GER-Bundesliga,St. Pauli,70,69,69,68,€1.5M,28,FIFA 11,"Feb 22, 2011"
180,GER-Bundesliga,FC Bayern München,83,81,81,77,€54M,24,FIFA 12,"Aug 30, 2011"
181,GER-Bundesliga,Borussia Dortmund,80,75,74,73,€15M,30,FIFA 12,"Aug 30, 2011"
182,GER-Bundesliga,Bayer 04 Leverkusen,79,75,78,74,€18M,25,FIFA 12,"Aug 30, 2011"
183,GER-Bundesliga,Schalke 04,77,73,75,74,€10M,28,FIFA 12,"Aug 30, 2011"
184,GER-Bundesliga,Werder Bremen,77,73,70,71,€8M,33,FIFA 12,"Aug 30, 2011"
185,GER-Bundesliga,Hamburger SV,76,76,70,69,€8M,32,FIFA 12,"Aug 30, 2011"
186,GER-Bundesliga,VfL Wolfsburg,76,71,72,71,€25M,33,FIFA 12,"Aug 30, 2011"
187,GER-Bundesliga,FC Köln,75,70,72,70,€5M,30,FIFA 12,"Aug 30, 2011"
188,GER-Bundesliga,VfB Stuttgart,75,69,71,72,€7M,33,FIFA 12,"Aug 30, 2011"
189,GER-Bundesliga,TSG Hoffenheim,75,70,72,69,€8.5M,31,FIFA 12,"Aug 30, 2011"
190,GER-Bundesliga,Hannover 96,75,76,70,70,€7M,28,FIFA 12,"Aug 30, 2011"
191,GER-Bundesliga,Borussia Mönchengladbach,73,67,67,69,€6M,32,FIFA 12,"Aug 30, 2011"
192,GER-Bundesliga,SC Freiburg,73,70,68,69,€2.5M,27,FIFA 12,"Aug 30, 2011"
193,GER-Bundesliga,FSV Mainz 05,73,69,72,70,€5.5M,29,FIFA 12,"Aug 30, 2011"
194,GER-Bundesliga,Kaiserslautern,72,66,69,69,€5M,30,FIFA 12,"Aug 30, 2011"
195,GER-Bundesliga,Hertha BSC,72,66,69,69,€4M,27,FIFA 12,"Aug 30, 2011"
196,GER-Bundesliga,Nürnberg,72,71,67,70,€3M,27,FIFA 12,"Aug 30, 2011"
197,GER-Bundesliga,FC Augsburg,70,67,65,69,€2M,30,FIFA 12,"Aug 30, 2011"
198,GER-Bundesliga,FC Bayern München,84,80,81,78,€54M,24,FIFA 12,"Feb 22, 2012"
199,GER-Bundesliga,Borussia Dortmund,80,74,75,75,€15M,28,FIFA 12,"Feb 22, 2012"
200,GER-Bundesliga,Bayer 04 Leverkusen,78,73,78,74,€18M,25,FIFA 12,"Feb 22, 2012"
201,GER-Bundesliga,Schalke 04,78,74,74,73,€10M,30,FIFA 12,"Feb 22, 2012"
202,GER-Bundesliga,Hamburger SV,76,77,70,70,€8M,33,FIFA 12,"Feb 22, 2012"
203,GER-Bundesliga,VfB Stuttgart,76,69,72,70,€7M,33,FIFA 12,"Feb 22, 2012"
204,GER-Bundesliga,Werder Bremen,76,71,70,72,€8M,33,FIFA 12,"Feb 22, 2012"
205,GER-Bundesliga,Borussia Mönchengladbach,75,68,69,70,€6M,30,FIFA 12,"Feb 22, 2012"
206,GER-Bundesliga,FC Köln,75,70,71,70,€5M,29,FIFA 12,"Feb 22, 2012"
207,GER-Bundesliga,TSG Hoffenheim,75,70,70,68,€8.5M,33,FIFA 12,"Feb 22, 2012"
208,GER-Bundesliga,VfL Wolfsburg,75,73,72,72,€25M,33,FIFA 12,"Feb 22, 2012"
209,GER-Bundesliga,Hannover 96,75,75,70,70,€7M,31,FIFA 12,"Feb 22, 2012"
210,GER-Bundesliga,Hertha BSC,73,68,70,70,€4M,28,FIFA 12,"Feb 22, 2012"
211,GER-Bundesliga,FSV Mainz 05,73,70,72,69,€5.5M,30,FIFA 12,"Feb 22, 2012"
212,GER-Bundesliga,Nürnberg,73,71,69,71,€3M,30,FIFA 12,"Feb 22, 2012"
213,GER-Bundesliga,SC Freiburg,72,69,68,67,€2.5M,28,FIFA 12,"Feb 22, 2012"
214,GER-Bundesliga,Kaiserslautern,72,68,69,69,€5M,28,FIFA 12,"Feb 22, 2012"
215,GER-Bundesliga,FC Augsburg,70,68,67,68,€2M,30,FIFA 12,"Feb 22, 2012"
216,GER-Bundesliga,FC Bayern München,83,83,84,81,€54M,27,FIFA 13,"Aug 31, 2012"
217,GER-Bundesliga,Borussia Dortmund,80,79,79,80,€17.5M,32,FIFA 13,"Aug 31, 2012"
218,GER-Bundesliga,Bayer 04 Leverkusen,77,76,76,75,€10M,26,FIFA 13,"Aug 31, 2012"
219,GER-Bundesliga,Schalke 04,77,85,78,76,€10M,25,FIFA 13,"Aug 31, 2012"
220,GER-Bundesliga,VfB Stuttgart,76,77,76,75,€7M,27,FIFA 13,"Aug 31, 2012"
221,GER-Bundesliga,VfL Wolfsburg,76,76,75,75,€25M,33,FIFA 13,"Aug 31, 2012"
222,GER-Bundesliga,Borussia Mönchengladbach,75,75,74,74,€10M,27,FIFA 13,"Aug 31, 2012"
223,GER-Bundesliga,Hamburger SV,75,73,74,73,€5M,30,FIFA 13,"Aug 31, 2012"
224,GER-Bundesliga,Hannover 96,75,77,75,74,€8M,27,FIFA 13,"Aug 31, 2012"
225,GER-Bundesliga,Werder Bremen,74,75,73,74,€6M,33,FIFA 13,"Aug 31, 2012"
226,GER-Bundesliga,TSG Hoffenheim,74,78,73,73,€7.5M,29,FIFA 13,"Aug 31, 2012"
227,GER-Bundesliga,Eintracht Frankfurt,73,72,73,72,€4.5M,29,FIFA 13,"Aug 31, 2012"
228,GER-Bundesliga,FSV Mainz 05,73,74,73,72,€4.5M,26,FIFA 13,"Aug 31, 2012"
229,GER-Bundesliga,Nürnberg,73,74,72,72,€3.5M,25,FIFA 13,"Aug 31, 2012"
230,GER-Bundesliga,SC Freiburg,72,71,73,71,€2.5M,28,FIFA 13,"Aug 31, 2012"
231,GER-Bundesliga,FC Augsburg,72,74,71,70,€2M,28,FIFA 13,"Aug 31, 2012"
232,GER-Bundesliga,SpVgg Greuther Fürth,70,70,70,70,€1.5M,30,FIFA 13,"Aug 31, 2012"
233,GER-Bundesliga,Fortuna Düsseldorf,69,68,70,68,€2M,33,FIFA 13,"Aug 31, 2012"
234,GER-Bundesliga,FC Bayern München,83,83,84,81,€54M,26,FIFA 13,"Feb 15, 2013"
235,GER-Bundesliga,Borussia Dortmund,80,80,80,80,€17.5M,32,FIFA 13,"Feb 15, 2013"
236,GER-Bundesliga,Bayer 04 Leverkusen,77,79,77,75,€10M,31,FIFA 13,"Feb 15, 2013"
237,GER-Bundesliga,Schalke 04,77,78,78,76,€10M,28,FIFA 13,"Feb 15, 2013"
238,GER-Bundesliga,VfL Wolfsburg,77,78,76,75,€25M,28,FIFA 13,"Feb 15, 2013"
239,GER-Bundesliga,Hamburger SV,76,74,75,74,€5M,27,FIFA 13,"Feb 15, 2013"
240,GER-Bundesliga,VfB Stuttgart,76,78,74,75,€7M,31,FIFA 13,"Feb 15, 2013"
241,GER-Bundesliga,Werder Bremen,75,76,74,73,€6M,31,FIFA 13,"Feb 15, 2013"
242,GER-Bundesliga,Hannover 96,75,79,76,73,€8M,33,FIFA 13,"Feb 15, 2013"
243,GER-Bundesliga,Borussia Mönchengladbach,74,74,73,73,€10M,27,FIFA 13,"Feb 15, 2013"
244,GER-Bundesliga,TSG Hoffenheim,74,75,74,74,€7.5M,33,FIFA 13,"Feb 15, 2013"
245,GER-Bundesliga,Eintracht Frankfurt,73,72,74,73,€4.5M,27,FIFA 13,"Feb 15, 2013"
246,GER-Bundesliga,FSV Mainz 05,73,75,73,72,€4.5M,28,FIFA 13,"Feb 15, 2013"
247,GER-Bundesliga,Nürnberg,73,72,72,73,€3.5M,29,FIFA 13,"Feb 15, 2013"
248,GER-Bundesliga,SC Freiburg,72,71,73,70,€2.5M,28,FIFA 13,"Feb 15, 2013"
249,GER-Bundesliga,FC Augsburg,71,72,70,69,€2M,31,FIFA 13,"Feb 15, 2013"
250,GER-Bundesliga,Fortuna Düsseldorf,70,71,69,69,€2M,33,FIFA 13,"Feb 15, 2013"
251,GER-Bundesliga,SpVgg Greuther Fürth,70,71,70,67,€1.5M,33,FIFA 13,"Feb 15, 2013"
252,GER-Bundesliga,FC Bayern München,83,83,84,81,€54M,26,FIFA 13,"Feb 22, 2013"
253,GER-Bundesliga,Borussia Dortmund,80,79,80,80,€17.5M,33,FIFA 13,"Feb 22, 2013"
254,GER-Bundesliga,Bayer 04 Leverkusen,77,79,75,75,€10M,31,FIFA 13,"Feb 22, 2013"
