,league,team,overall,attack,midfield,defence,transfer_budget,players,fifa_edition,update
31,ITA-Serie A,Udinese,74,74,73,74,€0,33,FIFA 07,"Feb 22, 2007"
32,ITA-Serie A,Bologna,74,73,76,73,€0,27,FIFA 07,"Feb 22, 2007"
33,ITA-Serie A,Hellas Verona,74,72,74,74,€0,31,FIFA 07,"Feb 22, 2007"
34,ITA-Serie A,Salernitana,73,76,72,71,€0,26,FIFA 07,"Feb 22, 2007"
35,ITA-Serie A,Empoli,73,74,73,72,€0,31,FIFA 07,"Feb 22, 2007"
36,ITA-Serie A,Genoa,73,76,73,71,€0,27,FIFA 07,"Feb 22, 2007"
37,ITA-Serie A,Cagliari,72,72,72,71,€0,30,FIFA 07,"Feb 22, 2007"
38,ITA-Serie A,Lecce,72,73,71,72,€0,32,FIFA 07,"Feb 22, 2007"
39,ITA-Serie A,Frosinone,70,70,68,69,€0,30,FIFA 07,"Feb 22, 2007"
40,ITA-Serie A,Inter,82,82,82,82,€0,25,FIFA 08,"Aug 30, 2007"
41,ITA-Serie A,Napoli,81,82,82,80,€0,27,FIFA 08,"Aug 30, 2007"
42,ITA-Serie A,Juventus,80,81,80,79,€0,25,FIFA 08,"Aug 30, 2007"
43,ITA-Serie A,Lazio,80,81,79,80,€0,27,FIFA 08,"Aug 30, 2007"
44,ITA-Serie A,Milan,80,82,79,81,€0,28,FIFA 08,"Aug 30, 2007"
45,ITA-Serie A,Roma,80,81,79,81,€0,30,FIFA 08,"Aug 30, 2007"
46,ITA-Serie A,Fiorentina,78,78,77,78,€0,27,FIFA 08,"Aug 30, 2007"
47,ITA-Serie A,Atalanta,78,79,77,77,€0,25,FIFA 08,"Aug 30, 2007"
48,ITA-Serie A,Torino,75,78,74,75,€0,27,FIFA 08,"Aug 30, 2007"
49,ITA-Serie A,Sassuolo,75,77,74,72,€0,27,FIFA 08,"Aug 30, 2007"
50,ITA-Serie A,Monza,75,74,76,75,€0,30,FIFA 08,"Aug 30, 2007"
51,ITA-Serie A,Udinese,74,74,73,74,€0,33,FIFA 08,"Aug 30, 2007"
52,ITA-Serie A,Bologna,74,73,76,73,€0,27,FIFA 08,"Aug 30, 2007"
53,ITA-Serie A,Hellas Verona,74,72,74,74,€0,31,FIFA 08,"Aug 30, 2007"
54,ITA-Serie A,Salernitana,73,76,72,71,€0,26,FIFA 08,"Aug 30, 2007"
55,ITA-Serie A,Empoli,73,74,73,72,€0,31,FIFA 08,"Aug 30, 2007"
56,ITA-Serie A,Genoa,73,76,73,71,€0,27,FIFA 08,"Aug 30, 2007"
57,ITA-Serie A,Cagliari,72,72,72,71,€0,30,FIFA 08,"Aug 30, 2007"
58,ITA-Serie A,Lecce,72,73,71,72,€0,32,FIFA 08,"Aug 30, 2007"
59,ITA-Serie A,Frosinone,70,70,68,69,€0,30,FIFA 08,"Aug 30, 2007"
60,ITA-Serie A,Inter,82,82,82,82,€0,25,FIFA 08,"Feb 22, 2008"
61,ITA-Serie A,Napoli,81,82,82,80,€0,27,FIFA 08,"Feb 22, 2008"
62,ITA-Serie A,Juventus,80,81,80,79,€0,25,FIFA 08,"Feb 22, 2008"
63,ITA-Serie A,Lazio,80,81,79,80,€0,27,FIFA 08,"Feb 22, 2008"
64,ITA-Serie A,Milan,80,82,79,81,€0,28,FIFA 08,"Feb 22, 2008"
65,ITA-Serie A,Roma,80,81,79,81,€0,30,FIFA 08,"Feb 22, 2008"
66,ITA-Serie A,Fiorentina,78,78,77,78,€0,27,FIFA 08,"Feb 22, 2008"
67,ITA-Serie A,Atalanta,78,79,77,77,€0,25,FIFA 08,"Feb 22, 2008"
68,ITA-Serie A,Torino,75,78,74,75,€0,27,FIFA 08,"Feb 22, 2008"
69,ITA-Serie A,Sassuolo,75,77,74,72,€0,27,FIFA 08,"Feb 22, 2008"
70,ITA-Serie A,Monza,75,74,76,75,€0,30,FIFA 08,"Feb 22, 2008"
71,ITA-Serie A,Udinese,74,74,73,74,€0,33,FIFA 08,"Feb 22, 2008"
72,ITA-Serie A,Bologna,74,73,76,73,€0,27,FIFA 08,"Feb 22, 2008"
73,ITA-Serie A,Hellas Verona,74,72,74,74,€0,31,FIFA 08,"Feb 22, 2008"
74,ITA-Serie A,Salernitana,73,76,72,71,€0,26,FIFA 08,"Feb 22, 2008"
75,ITA-Serie A,Empoli,73,74,73,72,€0,31,FIFA 08,"Feb 22, 2008"
76,ITA-Serie A,Genoa,73,76,73,71,€0,27,FIFA 08,"Feb 22, 2008"
77,ITA-Serie A,Cagliari,72,72,72,71,€0,30,FIFA 08,"Feb 22, 2008"
78,ITA-Serie A,Lecce,72,73,71,72,€0,32,FIFA 08,"Feb 22, 2008"
79,ITA-Serie A,Frosinone,70,70,68,69,€0,30,FIFA 08,"Feb 22, 2008"
80,ITA-Serie A,Inter,82,82,82,82,€0,25,FIFA 09,"Aug 30, 2008"
81,ITA-Serie A,Napoli,81,82,82,80,€0,27,FIFA 09,"Aug 30, 2008"
82,ITA-Serie A,Juventus,80,81,80,79,€0,25,FIFA 09,"Aug 30, 2008"
83,ITA-Serie A,Lazio,80,81,79,80,€0,27,FIFA 09,"Aug 30, 2008"
84,ITA-Serie A,Milan,80,82,79,81,€0,28,FIFA 09,"Aug 30, 2008"
85,ITA-Serie A,Roma,80,81,79,81,€0,30,FIFA 09,"Aug 30, 2008"
86,ITA-Serie A,Fiorentina,78,78,77,78,€0,27,FIFA 09,"Aug 30, 2008"
87,ITA-Serie A,Atalanta,78,79,77,77,€0,25,FIFA 09,"Aug 30, 2008"
88,ITA-Serie A,Torino,75,78,74,75,€0,27,FIFA 09,"Aug 30, 2008"
89,ITA-Serie A,Sassuolo,75,77,74,72,€0,27,FIFA 09,"Aug 30, 2008"
90,ITA-Serie A,Monza,75,74,76,75,€0,30,FIFA 09,"Aug 30, 2008"
91,ITA-Serie A,Udinese,74,74,73,74,€0,33,FIFA 09,"Aug 30, 2008"
92,ITA-Serie A,Bologna,74,73,76,73,€0,27,FIFA 09,"Aug 30, 2008"
93,ITA-Serie A,Hellas Verona,74,72,74,74,€0,31,FIFA 09,"Aug 30, 2008"
94,ITA-Serie A,Salernitana,73,76,72,71,€0,26,FIFA 09,"Aug 30, 2008"
95,ITA-Serie A,Empoli,73,74,73,72,€0,31,FIFA 09,"Aug 30, 2008"
96,ITA-Serie A,Genoa,73,76,73,71,€0,27,FIFA 09,"Aug 30, 2008"
97,ITA-Serie A,Cagliari,72,72,72,71,€0,30,FIFA 09,"Aug 30, 2008"
98,ITA-Serie A,Lecce,72,73,71,72,€0,32,FIFA 09,"Aug 30, 2008"
99,ITA-Serie A,Frosinone,70,70,68,69,€0,30,FIFA 09,"Aug 30, 2008"
100,ITA-Serie A,Inter,82,82,82,82,€0,25,FIFA 09,"Feb 22, 2009"
101,ITA-Serie A,Napoli,81,82,82,80,€0,27,FIFA 09,"Feb 22, 2009"
102,ITA-Serie A,Juventus,80,81,80,79,€0,25,FIFA 09,"Feb 22, 2009"
103,ITA-Serie A,Lazio,80,81,79,80,€0,27,FIFA 09,"Feb 22, 2009"
104,ITA-Serie A,Milan,80,82,79,81,€0,28,FIFA 09,"Feb 22, 2009"
105,ITA-Serie A,Roma,80,81,79,81,€0,30,FIFA 09,"Feb 22, 2009"
106,ITA-Serie A,Fiorentina,78,78,77,78,€0,27,FIFA 09,"Feb 22, 2009"
107,ITA-Serie A,Atalanta,78,79,77,77,€0,25,FIFA 09,"Feb 22, 2009"
108,ITA-Serie A,Torino,75,78,74,75,€0,27,FIFA 09,"Feb 22, 2009"
109,ITA-Serie A,Sassuolo,75,77,74,72,€0,27,FIFA 09,"Feb 22, 2009"
110,ITA-Serie A,Monza,75,74,76,75,€0,30,FIFA 09,"Feb 22, 2009"
111,ITA-Serie A,Udinese,74,74,73,74,€0,33,FIFA 09,"Feb 22, 2009"
112,ITA-Serie A,Bologna,74,73,76,73,€0,27,FIFA 09,"Feb 22, 2009"
113,ITA-Serie A,Hellas Verona,74,72,74,74,€0,31,FIFA 09,"Feb 22, 2009"
114,ITA-Serie A,Salernitana,73,76,72,71,€0,26,FIFA 09,"Feb 22, 2009"
115,ITA-Serie A,Empoli,73,74,73,72,€0,31,FIFA 09,"Feb 22, 2009"
116,ITA-Serie A,Genoa,73,76,73,71,€0,27,FIFA 09,"Feb 22, 2009"
117,ITA-Serie A,Cagliari,72,72,72,71,€0,30,FIFA 09,"Feb 22, 2009"
118,ITA-Serie A,Lecce,72,73,71,72,€0,32,FIFA 09,"Feb 22, 2009"
119,ITA-Serie A,Frosinone,70,70,68,69,€0,30,FIFA 09,"Feb 22, 2009"
120,ITA-Serie A,Inter,83,79,78,83,€80M,28,FIFA 10,"Aug 30, 2009"
121,ITA-Serie A,Juventus,82,80,76,78,€60M,32,FIFA 10,"Aug 30, 2009"
122,ITA-Serie A,Milan,81,79,78,77,€60M,29,FIFA 10,"Aug 30, 2009"
123,ITA-Serie A,Roma,80,75,71,77,€30M,35,FIFA 10,"Aug 30, 2009"
124,ITA-Serie A,Fiorentina,78,80,74,72,€45M,26,FIFA 10,"Aug 30, 2009"
125,ITA-Serie A,Lazio,77,77,75,73,€15M,30,FIFA 10,"Aug 30, 2009"
126,ITA-Serie A,Napoli,77,76,72,72,€20M,27,FIFA 10,"Aug 30, 2009"
127,ITA-Serie A,Udinese,77,79,74,72,€10M,33,FIFA 10,"Aug 30, 2009"
128,ITA-Serie A,Genoa,77,74,72,72,€20M,29,FIFA 10,"Aug 30, 2009"
129,ITA-Serie A,Sampdoria,76,76,72,71,€8M,27,FIFA 10,"Aug 30, 2009"
130,ITA-Serie A,Palermo,76,72,71,67,€10M,29,FIFA 10,"Aug 30, 2009"
131,ITA-Serie A,Atalanta,75,70,72,71,€6M,25,FIFA 10,"Aug 30, 2009"
132,ITA-Serie A,Catania,74,76,72,72,€5M,27,FIFA 10,"Aug 30, 2009"
133,ITA-Serie A,Cagliari,74,70,71,70,€5M,30,FIFA 10,"Aug 30, 2009"
134,ITA-Serie A,Parma,73,69,71,68,€10M,28,FIFA 10,"Aug 30, 2009"
135,ITA-Serie A,Bologna,72,70,67,70,€6M,28,FIFA 10,"Aug 30, 2009"
136,ITA-Serie A,Chievo,72,67,69,70,€4M,28,FIFA 10,"Aug 30, 2009"
137,ITA-Serie A,Siena,71,68,67,69,€3M,29,FIFA 10,"Aug 30, 2009"
138,ITA-Serie A,Livorno,71,71,70,70,€4M,24,FIFA 10,"Aug 30, 2009"
139,ITA-Serie A,Bari 1908,71,67,68,68,€4M,34,FIFA 10,"Aug 30, 2009"
140,ITA-Serie A,Inter,83,77,72,80,€80M,32,FIFA 10,"Feb 22, 2010"
141,ITA-Serie A,Juventus,82,78,73,76,€60M,34,FIFA 10,"Feb 22, 2010"
142,ITA-Serie A,Milan,81,74,79,77,€60M,31,FIFA 10,"Feb 22, 2010"
143,ITA-Serie A,Roma,80,76,75,78,€30M,28,FIFA 10,"Feb 22, 2010"
144,ITA-Serie A,Fiorentina,78,74,68,74,€45M,28,FIFA 10,"Feb 22, 2010"
145,ITA-Serie A,Lazio,77,75,72,72,€15M,35,FIFA 10,"Feb 22, 2010"
146,ITA-Serie A,Napoli,77,78,72,73,€20M,25,FIFA 10,"Feb 22, 2010"
147,ITA-Serie A,Udinese,77,77,72,71,€10M,35,FIFA 10,"Feb 22, 2010"
148,ITA-Serie A,Genoa,77,69,69,65,€20M,35,FIFA 10,"Feb 22, 2010"
149,ITA-Serie A,Sampdoria,76,69,72,72,€8M,29,FIFA 10,"Feb 22, 2010"
150,ITA-Serie A,Palermo,76,73,70,67,€10M,30,FIFA 10,"Feb 22, 2010"
151,ITA-Serie A,Atalanta,75,73,73,71,€6M,27,FIFA 10,"Feb 22, 2010"
152,ITA-Serie A,Catania,74,73,73,72,€5M,28,FIFA 10,"Feb 22, 2010"
153,ITA-Serie A,Cagliari,74,70,72,70,€5M,30,FIFA 10,"Feb 22, 2010"
154,ITA-Serie A,Parma,73,69,67,67,€10M,28,FIFA 10,"Feb 22, 2010"
155,ITA-Serie A,Bologna,72,68,69,68,€6M,30,FIFA 10,"Feb 22, 2010"
156,ITA-Serie A,Chievo,72,67,66,71,€4M,27,FIFA 10,"Feb 22, 2010"
157,ITA-Serie A,Siena,71,66,66,68,€3M,31,FIFA 10,"Feb 22, 2010"
158,ITA-Serie A,Livorno,71,71,68,68,€4M,29,FIFA 10,"Feb 22, 2010"
159,ITA-Serie A,Bari 1908,71,68,69,70,€4M,32,FIFA 10,"Feb 22, 2010"
160,ITA-Serie A,Inter,82,77,78,79,€48M,29,FIFA 11,"Aug 30, 2010"
161,ITA-Serie A,Milan,80,79,76,76,€31.2M,29,FIFA 11,"Aug 30, 2010"
162,ITA-Serie A,Juventus,79,76,77,75,€32.4M,29,FIFA 11,"Aug 30, 2010"
163,ITA-Serie A,Roma,79,79,75,74,€20M,31,FIFA 11,"Aug 30, 2010"
164,ITA-Serie A,Fiorentina,77,71,75,75,€18.6M,30,FIFA 11,"Aug 30, 2010"
165,ITA-Serie A,Genoa,77,72,76,74,€15.4M,29,FIFA 11,"Aug 30, 2010"
166,ITA-Serie A,Sampdoria,76,77,74,74,€10.8M,26,FIFA 11,"Aug 30, 2010"
167,ITA-Serie A,Napoli,76,71,73,73,€18.6M,26,FIFA 11,"Aug 30, 2010"
168,ITA-Serie A,Palermo,76,78,69,70,€14M,27,FIFA 11,"Aug 30, 2010"
169,ITA-Serie A,Lazio,75,72,72,73,€15M,33,FIFA 11,"Aug 30, 2010"
170,ITA-Serie A,Parma,74,76,68,70,€10M,29,FIFA 11,"Aug 30, 2010"
171,ITA-Serie A,Udinese,74,72,72,69,€8M,33,FIFA 11,"Aug 30, 2010"
172,ITA-Serie A,Cagliari,73,71,70,68,€6.5M,28,FIFA 11,"Aug 30, 2010"
173,ITA-Serie A,Bari 1908,73,71,68,69,€7M,28,FIFA 11,"Aug 30, 2010"
174,ITA-Serie A,Catania,72,72,72,71,€5M,29,FIFA 11,"Aug 30, 2010"
175,ITA-Serie A,Chievo,72,64,70,70,€4M,35,FIFA 11,"Aug 30, 2010"
176,ITA-Serie A,Cesena,70,69,67,67,€4M,29,FIFA 11,"Aug 30, 2010"
177,ITA-Serie A,Lecce,70,69,67,66,€4M,31,FIFA 11,"Aug 30, 2010"
178,ITA-Serie A,Bologna,70,67,67,67,€6M,31,FIFA 11,"Aug 30, 2010"
179,ITA-Serie A,Brescia,69,71,68,67,€4M,26,FIFA 11,"Aug 30, 2010"
180,ITA-Serie A,Inter,82,76,74,77,€40M,33,FIFA 11,"Feb 22, 2011"
181,ITA-Serie A,Milan,80,77,76,75,€31.2M,35,FIFA 11,"Feb 22, 2011"
182,ITA-Serie A,Juventus,79,74,76,73,€30M,35,FIFA 11,"Feb 22, 2011"
183,ITA-Serie A,Roma,79,77,78,75,€10M,26,FIFA 11,"Feb 22, 2011"
184,ITA-Serie A,Fiorentina,77,73,74,72,€15M,32,FIFA 11,"Feb 22, 2011"
185,ITA-Serie A,Genoa,77,70,70,73,€25M,31,FIFA 11,"Feb 22, 2011"
186,ITA-Serie A,Sampdoria,76,73,73,70,€8M,28,FIFA 11,"Feb 22, 2011"
187,ITA-Serie A,Napoli,76,77,75,75,€18.6M,26,FIFA 11,"Feb 22, 2011"
188,ITA-Serie A,Palermo,76,71,70,72,€14M,28,FIFA 11,"Feb 22, 2011"
189,ITA-Serie A,Lazio,75,73,74,74,€15M,30,FIFA 11,"Feb 22, 2011"
190,ITA-Serie A,Parma,74,75,69,68,€8M,33,FIFA 11,"Feb 22, 2011"
191,ITA-Serie A,Udinese,74,73,75,72,€6M,26,FIFA 11,"Feb 22, 2011"
192,ITA-Serie A,Cagliari,73,69,69,69,€6M,30,FIFA 11,"Feb 22, 2011"
193,ITA-Serie A,Bari 1908,73,69,68,67,€5M,33,FIFA 11,"Feb 22, 2011"
194,ITA-Serie A,Catania,72,73,71,71,€5M,29,FIFA 11,"Feb 22, 2011"
195,ITA-Serie A,Chievo,72,73,70,72,€4M,26,FIFA 11,"Feb 22, 2011"
196,ITA-Serie A,Cesena,70,69,68,68,€3M,29,FIFA 11,"Feb 22, 2011"
197,ITA-Serie A,Lecce,70,69,69,67,€4M,26,FIFA 11,"Feb 22, 2011"
198,ITA-Serie A,Bologna,70,69,70,69,€6M,31,FIFA 11,"Feb 22, 2011"
199,ITA-Serie A,Brescia,69,72,68,67,€4M,27,FIFA 11,"Feb 22, 2011"
200,ITA-Serie A,Inter,83,80,77,76,€40M,32,FIFA 12,"Aug 30, 2011"
201,ITA-Serie A,Milan,83,77,76,76,€30M,33,FIFA 12,"Aug 30, 2011"
202,ITA-Serie A,Juventus,81,77,77,75,€30M,33,FIFA 12,"Aug 30, 2011"
203,ITA-Serie A,Napoli,80,78,78,74,€24M,26,FIFA 12,"Aug 30, 2011"
204,ITA-Serie A,Lazio,79,76,75,73,€17M,33,FIFA 12,"Aug 30, 2011"
205,ITA-Serie A,Fiorentina,78,73,71,71,€15M,33,FIFA 12,"Aug 30, 2011"
206,ITA-Serie A,Roma,78,76,74,73,€27M,33,FIFA 12,"Aug 30, 2011"
207,ITA-Serie A,Palermo,77,70,70,68,€15M,33,FIFA 12,"Aug 30, 2011"
208,ITA-Serie A,Udinese,77,76,72,74,€11M,28,FIFA 12,"Aug 30, 2011"
209,ITA-Serie A,Genoa,76,74,72,70,€20M,32,FIFA 12,"Aug 30, 2011"
210,ITA-Serie A,Catania,75,74,72,72,€7M,30,FIFA 12,"Aug 30, 2011"
211,ITA-Serie A,Parma,75,74,71,71,€8M,33,FIFA 12,"Aug 30, 2011"
212,ITA-Serie A,Cagliari,75,71,72,69,€8M,31,FIFA 12,"Aug 30, 2011"
213,ITA-Serie A,Bologna,74,68,71,68,€5M,32,FIFA 12,"Aug 30, 2011"
214,ITA-Serie A,Chievo,74,69,68,71,€6M,31,FIFA 12,"Aug 30, 2011"
215,ITA-Serie A,Atalanta,73,72,72,70,€3M,27,FIFA 12,"Aug 30, 2011"
216,ITA-Serie A,Cesena,73,69,68,67,€3M,32,FIFA 12,"Aug 30, 2011"
217,ITA-Serie A,Lecce,72,68,68,67,€4M,33,FIFA 12,"Aug 30, 2011"
218,ITA-Serie A,Siena,71,70,66,67,€3M,33,FIFA 12,"Aug 30, 2011"
219,ITA-Serie A,Novara,69,70,67,65,€1.5M,26,FIFA 12,"Aug 30, 2011"
220,ITA-Serie A,Inter,82,80,76,76,€40M,31,FIFA 12,"Feb 22, 2012"
221,ITA-Serie A,Juventus,82,76,77,76,€30M,30,FIFA 12,"Feb 22, 2012"
222,ITA-Serie A,Milan,82,79,77,80,€30M,33,FIFA 12,"Feb 22, 2012"
223,ITA-Serie A,Napoli,80,78,77,74,€24M,26,FIFA 12,"Feb 22, 2012"
224,ITA-Serie A,Lazio,79,72,76,73,€17M,30,FIFA 12,"Feb 22, 2012"
225,ITA-Serie A,Roma,78,73,72,71,€27M,33,FIFA 12,"Feb 22, 2012"
226,ITA-Serie A,Udinese,78,72,72,72,€11M,33,FIFA 12,"Feb 22, 2012"
227,ITA-Serie A,Genoa,78,78,73,69,€20M,28,FIFA 12,"Feb 22, 2012"
228,ITA-Serie A,Fiorentina,77,72,75,73,€15M,30,FIFA 12,"Feb 22, 2012"
229,ITA-Serie A,Palermo,77,71,74,71,€15M,30,FIFA 12,"Feb 22, 2012"
230,ITA-Serie A,Parma,75,75,73,71,€8M,28,FIFA 12,"Feb 22, 2012"
231,ITA-Serie A,Cagliari,75,74,71,69,€8M,28,FIFA 12,"Feb 22, 2012"
232,ITA-Serie A,Catania,74,73,72,73,€7M,26,FIFA 12,"Feb 22, 2012"
233,ITA-Serie A,Atalanta,74,73,72,71,€3M,28,FIFA 12,"Feb 22, 2012"
234,ITA-Serie A,Cesena,74,69,67,67,€3M,33,FIFA 12,"Feb 22, 2012"
235,ITA-Serie A,Bologna,74,73,72,70,€5M,31,FIFA 12,"Feb 22, 2012"
236,ITA-Serie A,Chievo,74,71,70,71,€6M,32,FIFA 12,"Feb 22, 2012"
237,ITA-Serie A,Siena,72,72,69,69,€3M,30,FIFA 12,"Feb 22, 2012"
238,ITA-Serie A,Lecce,72,70,70,68,€4M,32,FIFA 12,"Feb 22, 2012"
239,ITA-Serie A,Novara,70,71,67,66,€1.5M,27,FIFA 12,"Feb 22, 2012"
240,ITA-Serie A,Juventus,82,80,81,82,€37M,31,FIFA 13,"Aug 31, 2012"
241,ITA-Serie A,Inter,81,83,80,80,€35M,31,FIFA 13,"Aug 31, 2012"
242,ITA-Serie A,Milan,80,81,79,79,€20M,33,FIFA 13,"Aug 31, 2012"
243,ITA-Serie A,Napoli,79,80,78,78,€20M,26,FIFA 13,"Aug 31, 2012"
244,ITA-Serie A,Lazio,78,78,79,78,€15M,31,FIFA 13,"Aug 31, 2012"
245,ITA-Serie A,Fiorentina,77,76,75,73,€17M,28,FIFA 13,"Aug 31, 2012"
246,ITA-Serie A,Roma,77,78,78,75,€20M,27,FIFA 13,"Aug 31, 2012"
247,ITA-Serie A,Udinese,76,79,75,78,€14M,33,FIFA 13,"Aug 31, 2012"
248,ITA-Serie A,Atalanta,75,77,76,74,€5M,28,FIFA 13,"Aug 31, 2012"
249,ITA-Serie A,Parma,75,73,73,75,€9M,27,FIFA 13,"Aug 31, 2012"
250,ITA-Serie A,Cagliari,75,74,76,74,€8M,27,FIFA 13,"Aug 31, 2012"
251,ITA-Serie A,Palermo,75,77,74,72,€10M,30,FIFA 13,"Aug 31, 2012"
252,ITA-Serie A,Genoa,75,76,74,74,€13M,24,FIFA 13,"Aug 31, 2012"
253,ITA-Serie A,Catania,74,76,73,75,€6M,29,FIFA 13,"Aug 31, 2012"
254,ITA-Serie A,Torino,74,74,73,73,€4M,31,FIFA 13,"Aug 31, 2012"
255,ITA-Serie A,Bologna,74,76,71,75,€5M,31,FIFA 13,"Aug 31, 2012"
256,ITA-Serie A,Chievo,74,75,74,74,€6M,30,FIFA 13,"Aug 31, 2012"
257,ITA-Serie A,Sampdoria,73,75,72,72,€8M,26,FIFA 13,"Aug 31, 2012"
258,ITA-Serie A,Siena,72,73,71,72,€4M,27,FIFA 13,"Aug 31, 2012"
259,ITA-Serie A,Pescara,70,72,70,68,€3M,32,FIFA 13,"Aug 31, 2012"
260,ITA-Serie A,Juventus,82,81,81,79,€30M,27,FIFA 13,"Feb 15, 2013"
261,ITA-Serie A,Inter,80,85,78,80,€35M,29,FIFA 13,"Feb 15, 2013"
262,ITA-Serie A,Milan,80,80,79,78,€20M,28,FIFA 13,"Feb 15, 2013"
263,ITA-Serie A,Napoli,80,80,79,79,€20M,27,FIFA 13,"Feb 15, 2013"
264,ITA-Serie A,Lazio,79,80,80,78,€15M,28,FIFA 13,"Feb 15, 2013"
265,ITA-Serie A,Fiorentina,78,78,77,77,€17M,28,FIFA 13,"Feb 15, 2013"
266,ITA-Serie A,Roma,77,77,78,76,€20M,26,FIFA 13,"Feb 15, 2013"
267,ITA-Serie A,Udinese,76,76,74,77,€14M,27,FIFA 13,"Feb 15, 2013"
268,ITA-Serie A,Catania,75,74,75,74,€7M,26,FIFA 13,"Feb 15, 2013"
269,ITA-Serie A,Atalanta,75,76,73,72,€5M,32,FIFA 13,"Feb 15, 2013"
270,ITA-Serie A,Cagliari,75,75,75,72,€8M,27,FIFA 13,"Feb 15, 2013"
271,ITA-Serie A,Genoa,75,74,72,75,€13M,26,FIFA 13,"Feb 15, 2013"
272,ITA-Serie A,Parma,74,74,73,74,€9M,27,FIFA 13,"Feb 15, 2013"
273,ITA-Serie A,Palermo,74,74,73,72,€10M,27,FIFA 13,"Feb 15, 2013"
274,ITA-Serie A,Torino,74,76,73,74,€4M,28,FIFA 13,"Feb 15, 2013"
275,ITA-Serie A,Bologna,74,76,72,72,€5M,30,FIFA 13,"Feb 15, 2013"
276,ITA-Serie A,Chievo,74,76,72,73,€6M,30,FIFA 13,"Feb 15, 2013"
277,ITA-Serie A,Sampdoria,73,70,73,71,€8M,27,FIFA 13,"Feb 15, 2013"
278,ITA-Serie A,Pescara,72,73,70,68,€2M,27,FIFA 13,"Feb 15, 2013"
279,ITA-Serie A,Siena,71,70,71,68,€4M,29,FIFA 13,"Feb 15, 2013"
280,ITA-Serie A,Juventus,82,80,82,83,€30M,27,FIFA 13,"Feb 22, 2013"
281,ITA-Serie A,Inter,80,82,78,79,€35M,29,FIFA 13,"Feb 22, 2013"
282,ITA-Serie A,Milan,80,80,79,78,€20M,28,FIFA 13,"Feb 22, 2013"
283,ITA-Serie A,Napoli,80,80,79,79,€20M,27,FIFA 13,"Feb 22, 2013"
284,ITA-Serie A,Lazio,79,80,80,78,€15M,28,FIFA 13,"Feb 22, 2013"
